"Rank","Name","Country","Student Population","Students to Staff Ratio","International Students","Female to Male Ratio","Overall Score","Teaching","Research Environment","Research Quality","Industry Impact","International Outlook","Year","international_pct"
213.0,Tianjin University,China,27081.0,8.9,"15%","",57.9405,46.8,47.7,73.4,99.6,57.3,2025,15.0
215.0,University of Gothenburg,Sweden,21568.0,11.5,"13%","",57.77499999999999,34.6,43.4,90.2,77.3,64.4,2025,13.0
232.0,University of Miami,United States,18354.0,10.8,"13%","54 : 46",57.0055,46.5,34.8,83.6,79.9,65.6,2025,13.0
266.0,University of Southern Denmark,Denmark,17572.0,9.5,"14%","53 : 47",55.138499999999986,30.3,35.0,88.3,95.0,76.8,2025,14.0
307.0,Kyushu University,Japan,18342.0,7.8,"13%","29 : 71",53.29499999999999,53.8,47.6,53.3,98.5,49.2,2025,13.0
336.0,King Khalid University,Saudi Arabia,29889.0,7.0,"16%","61 : 39",51.710499999999996,39.0,30.2,74.3,58.5,90.9,2025,16.0
337.0,University of Connecticut,United States,28524.0,11.6,"11%","53 : 47",51.6785,41.1,31.5,76.0,68.6,65.0,2025,11.0
358.0,University of Kansas,United States,23598.0,9.5,"7%","54 : 46",50.94599999999999,44.0,29.7,73.0,80.2,56.6,2025,7.0
376.0,Hokkaido University,Japan,17687.0,8.2,"10%","29 : 71",50.21099999999999,52.6,44.7,47.8,95.9,47.4,2025,10.0
388.0,Drexel University,United States,16688.0,10.6,"16%","51 : 49",49.64699999999999,43.4,25.4,72.4,74.7,63.6,2025,16.0
